,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
72,agglomerative,8,,0.23757096946558431,816.4602232188714,1.1456859088543463,,,complete,,
73,agglomerative,9,,0.23808002116224022,764.9472972014256,1.1487203542221924,,,complete,,
74,agglomerative,10,,0.24746192380306223,726.1383756954177,1.2024022795416691,,,complete,,
75,agglomerative,11,,0.2438966456408167,690.7833519156769,1.1524836742889546,,,complete,,
76,agglomerative,12,,0.24621291050591024,652.9967198039997,1.0968117392154366,,,complete,,
77,agglomerative,13,,0.24653158690694307,605.6337232235787,1.022447729243195,,,complete,,
78,agglomerative,14,,0.24047037919544215,568.7408399793782,1.0410321958224666,,,complete,,
79,agglomerative,15,,0.24057730037631364,541.8714559892273,1.031382263362421,,,complete,,
80,agglomerative,16,,0.24137168473166207,509.8622926549721,1.001921611892471,,,complete,,
81,agglomerative,17,,0.24143175917627177,483.34548983778353,0.9904704961330102,,,complete,,
82,agglomerative,18,,0.23693614016367218,459.2477551455671,0.9753037411830012,,,complete,,
83,agglomerative,19,,0.17379818727901958,542.9646940586571,1.0727089655800999,,,complete,,
84,agglomerative,20,,0.17370013014118899,523.2211416952631,1.0335626909849034,,,complete,,
85,agglomerative,21,,0.17354642277428,502.89068641777857,1.0486771590189985,,,complete,,
86,agglomerative,22,,0.17292854333451596,484.726029736214,1.1078452418881162,,,complete,,
87,agglomerative,23,,0.17193483487465328,466.3297661621287,1.1260936922497167,,,complete,,
88,agglomerative,24,,0.17275635424525526,452.42686497207876,1.1339640081226496,,,complete,,
89,agglomerative,25,,0.17259348505926925,449.94368203118233,1.1190869732498685,,,complete,,
90,agglomerative,26,,0.14322561534843598,455.1394605486754,1.1766681881793568,,,complete,,
91,agglomerative,27,,0.14324973081776773,439.1916160340192,1.1382885889805565,,,complete,,
92,agglomerative,28,,0.1456215081545229,431.40436725875065,1.1500317792067367,,,complete,,
93,agglomerative,29,,0.12007970461624115,436.55154326133896,1.1778789822623705,,,complete,,
94,agglomerative,30,,0.12016526106501517,423.33811718251206,1.1382555833313763,,,complete,,
95,agglomerative,31,,0.12008907932566444,410.70573699970873,1.142784314662207,,,complete,,
96,agglomerative,32,,0.12083890995600932,400.0613411503773,1.1276202785087341,,,complete,,
97,agglomerative,33,,0.12071120677594163,389.56816513790625,1.1307411159802039,,,complete,,
98,agglomerative,34,,0.1229667411071246,383.4794102426196,1.1428876316111365,,,complete,,
99,agglomerative,2,,0.7377445515657344,17.068548969958773,0.17816516050904962,,,single,,
100,agglomerative,3,,0.5191888351952378,12.725573541435583,0.414348250667359,,,single,,
101,agglomerative,4,,0.5085089518149202,10.474188229710974,0.3861177466620333,,,single,,
102,agglomerative,5,,0.5073744264283752,14.062290153661984,0.3382678602172682,,,single,,
103,agglomerative,6,,0.46709833689182373,12.288169687782956,0.33601296594907937,,,single,,
104,agglomerative,7,,0.4667717626350825,11.608671774245982,0.32483081325483815,,,single,,
105,agglomerative,8,,0.4644252427621597,11.13331734760261,0.3163002659106718,,,single,,
